year,bridgeId,bridgeName,depositUSD,withdrawUSD,totalUSD,netUSD
2024,32,Squid (Powered by Axelar),2443597829.0041986,2558647222.015809,5002245051.020007,-115049393.01161084
2024,9999,zkBridge,1876489634.7481382,1973077590.024631,3849567224.772769,-96587955.27649304
2024,39,rhino.fi,1762553292.8271394,1772527105.183242,3535080398.0103817,-9973812.35610268
2024,59,Connext,1473349571.8845744,1527584319.0915418,3000933890.976116,-54234747.20696729
2024,35,CrossCurve,1458229644.2186453,1457758236.961788,2915987881.1804333,471407.2568574402
2024,16,Gnosis Bridge,1375166962.44862,1356094425.690755,2731261388.139375,19072536.757865187
2024,13,Hop,1293946443.765518,1280851397.7898347,2574797841.5553527,13095045.975683166
2024,29,Base Bridge,1860085191.2594104,528336314.0274079,2388421505.2868185,1331748877.2320025
2024,46,yBridge by xSync Network,979755987.7738531,1195999344.8844407,2175755332.6582937,-216243357.1105875
2024,96,Chainlink CCIP,1073320931.7,1100839382.9,2174160314.6,-27518451.2
2024,27,Symbiosis,949270890.2307675,936940791.5705383,1886211681.8013058,12330098.66022917
2024,60,Allbridge Core,721034710.5756046,719180190.2968833,1440214900.8724878,1854520.2787212944
2024,30,Mantle Bridge,898845072.1852456,504895705.7309877,1403740777.9162333,393949366.4542579
2024,3,Avalanche Bridge,404567023.0553133,518372406.4960303,922939429.5513436,-113805383.440717
2024,15,Core Bitcoin Bridge,371824320.76384777,486475218.96164143,858299539.7254893,-114650898.1977937
2024,54,Nitro (by Router Protocol),450137713.5887479,353433179.712378,803570893.301126,96704533.8763699
2024,37,Manta Pacific Bridge,361073567.4309967,316184996.63549006,677258564.0664867,44888570.795506656
2024,49,Garden,324418191.77323556,324591450.8068106,649009642.5800462,-173259.0335750845
2024,50,Mode Network,296656696.3487526,318645576.70273197,615302273.0514846,-21988880.353979353
2024,44,Interport Finance,362716824.148287,182435105.443481,545151929.591768,180281718.70480603
2024,23,Polygon zkEVM Bridge,373792567.04417944,37850702.62340165,411643269.6675811,335941864.4207778
2024,41,Wan Bridge,158208326.36975926,197543910.7995265,355752237.1692858,-39335584.42976725
2024,75,Layerswap,121510778.32611491,107197040.4877734,228707818.8138883,14313737.838341499
2024,73,Sui Bridge,82696873.05547518,81126483.8049258,163823356.86040097,1570389.2505493788
2024,74,RetroBridge,75956467.17491046,76262573.69123724,152219040.8661477,-306106.51632678765
