month,bridgeId,bridgeName,depositUSD,withdrawUSD,totalUSD,netUSD
2024-09,3,Avalanche Bridge,17872430.038311742,20215454.26721827,38087884.30553001,-2343024.2289065276
2024-10,3,Avalanche Bridge,18754651.805799466,23600326.692035273,42354978.497834735,-4845674.886235808
2024-11,3,Avalanche Bridge,42323365.73899805,44267373.7367424,86590739.47574045,-1944007.997744349
2024-12,3,Avalanche Bridge,30234864.399253607,27255351.70807515,57490216.10732876,2979512.691178455
2025-01,3,Avalanche Bridge,22931801.096607957,30883442.414439447,53815243.51104741,-7951641.317831489
2025-02,3,Avalanche Bridge,13506199.955783857,23920789.6341404,37426989.58992425,-10414589.678356543
2025-03,3,Avalanche Bridge,11118331.538564438,22098509.8904578,33216841.429022238,-10980178.351893362
2025-04,3,Avalanche Bridge,35758677.3381841,36171495.8565857,71930173.1947698,-412818.5184015967
2025-05,3,Avalanche Bridge,54061011.68671856,71784408.04720788,125845419.73392645,-17723396.360489324
2025-06,3,Avalanche Bridge,40398668.72930374,41257008.859980054,81655677.5892838,-858340.1306763145
2025-07,3,Avalanche Bridge,103487847.17219208,51314196.09542277,154802043.26761484,52173651.076769315
2025-08,3,Avalanche Bridge,89259839.81178479,105210823.57964836,194470663.39143315,-15950983.76786358
2025-09,3,Avalanche Bridge,121089578.13508214,75958810.95580678,197048389.09088892,45130767.17927537
2022-10,4,Optimism Gateway,109853356.68718877,73471477.7846117,183324834.47180048,36381878.90257707
2022-11,4,Optimism Gateway,125606803.51902843,350723006.0745517,476329809.59358007,-225116202.55552325
2022-12,4,Optimism Gateway,101785466.11997458,135452990.39879218,237238456.51876676,-33667524.27881761
2023-01,4,Optimism Gateway,158077496.43968105,44491712.83137556,202569209.27105662,113585783.6083055
2023-02,4,Optimism Gateway,233689781.9968088,167781032.7449878,401470814.74179655,65908749.25182103
2023-03,4,Optimism Gateway,185558217.73182762,87466352.60276921,273024570.3345968,98091865.1290584
2023-04,4,Optimism Gateway,109176276.88940561,119423588.70751587,228599865.59692147,-10247311.818110256
2023-05,4,Optimism Gateway,86330503.23071305,108294533.53023623,194625036.76094928,-21964030.29952318
2023-06,4,Optimism Gateway,128623045.83594643,121831247.29349746,250454293.12944388,6791798.5424489565
2023-07,4,Optimism Gateway,177992816.56677535,90489497.4020806,268482313.9688559,87503319.16469476
2023-08,4,Optimism Gateway,157071518.42275357,234675982.97642806,391747501.3991816,-77604464.55367452
2023-09,4,Optimism Gateway,130249522.5750655,169990960.00352088,300240482.5785864,-39741437.4284554
2023-10,4,Optimism Gateway,133370142.98644693,113171183.80989897,246541326.7963459,20198959.176547945
2023-11,4,Optimism Gateway,225975456.72388002,132812639.57562418,358788096.29950416,93162817.14825583
2023-12,4,Optimism Gateway,286625214.52426,181895858.77968293,468521073.30394286,104729355.74457702
2024-01,4,Optimism Gateway,132148259.60196063,202876261.9204741,335024521.5224347,-70728002.31851347
2024-02,4,Optimism Gateway,323733507.30739087,173005713.3015546,496739220.6089454,150727794.00583622
2024-03,4,Optimism Gateway,379836080.2604821,195324117.11064333,575160197.3711255,184511963.14983878
2024-04,4,Optimism Gateway,440994911.2140567,147185174.57210454,588180085.7861612,293809736.6419521
2024-05,4,Optimism Gateway,422268090.28781056,124409085.90273748,546677176.1905481,297859004.38507307
2024-06,4,Optimism Gateway,366545858.63535,78471516.63479818,445017375.27014816,288074342.0005518
2024-07,4,Optimism Gateway,249980065.23247957,90258538.82487349,340238604.0573531,159721526.40760607
2024-08,4,Optimism Gateway,182833074.24048382,71601647.17377307,254434721.4142569,111231427.06671076
2024-09,4,Optimism Gateway,110216526.46487753,137109754.7047027,247326281.16958025,-26893228.23982519
2024-10,4,Optimism Gateway,99227788.60844989,368371862.71406597,467599651.3225159,-269144074.1056161
2024-11,4,Optimism Gateway,129457201.48368438,139512728.98036093,268969930.4640453,-10055527.496676546
2024-12,4,Optimism Gateway,322542647.1784831,373010357.66431713,695553004.8428003,-50467710.48583392
2025-01,4,Optimism Gateway,195417406.60153165,186426698.95071098,381844105.55224264,8990707.650820691
2025-02,4,Optimism Gateway,266374623.9097797,752406802.5438254,1018781426.4536052,-486032178.6340457
2025-03,4,Optimism Gateway,77242165.36817423,199313254.65502322,276555420.0231975,-122071089.28684899
2025-04,4,Optimism Gateway,142166914.20461205,594305949.3950264,736472863.5996385,-452139035.1904144
2025-05,4,Optimism Gateway,143329665.6116902,377522022.3366017,520851687.9482919,-234192356.72491145
2025-06,4,Optimism Gateway,326397552.6054661,119175636.61639802,445573189.2218641,207221915.9890681
2025-07,4,Optimism Gateway,221002386.77380532,164353341.7132056,385355728.4870109,56649045.0605997
