month;bridgeId;bridgeName;totalUSD;SA_Tier
2023-10;3;Avalanche Bridge;58353858,08;SA12
2023-10;27;Symbiosis;47826303,71;SA11
2023-10;30;Mantle Bridge;47105111,39;SA33
2023-10;23;Polygon zkEVM Bridge;42387841,36;SA32
2023-10;10;Celer cBridge;26090768,89;SA22
2023-10;18;Rainbow Bridge;23645137,38;SA31
2023-10;37;Manta Pacific Bridge;17622587,7;SA33
2023-10;22;Allbridge Classic;1076724,347;SA22
2023-10;35;CrossCurve;21481,29323;SA22
2023-10;42;pNetwork;17541,20031;SA22
2023-11;2;Arbitrum Bridge;1552313197;SA33
2023-11;12;Stargate;1339056520;SA22
2023-11;26;ZKsync Era Bridge;1012370119;SA32
2023-11;19;Across;889003247,6;SA33
2023-11;1;Polygon PoS Bridge;619843647,3;SA22
2023-11;4;Optimism Gateway;358788096,3;SA33
2023-11;39;rhino.fi;287982549,6;SA11
2023-11;32;Squid (Powered by Axelar);199430922,6;SA21
2023-11;11;Synapse;189716690,2;SA22
2023-11;16;Gnosis Bridge;178487510;SA22
2023-11;13;Hop;160401543,5;SA33
2023-11;28;Meson;157808721,5;SA11
2023-11;3;Avalanche Bridge;117700982,6;SA12
2023-11;23;Polygon zkEVM Bridge;51014178,8;SA32
2023-11;30;Mantle Bridge;48458015,61;SA33
2023-11;27;Symbiosis;47310220,65;SA11
2023-11;10;Celer cBridge;38943247,89;SA22
2023-11;37;Manta Pacific Bridge;27260409,42;SA33
2023-11;18;Rainbow Bridge;10872341,11;SA31
2023-11;20;deBridge;8606221,783;SA22
2023-11;34;Satellite (Powered by Axelar);4477775,178;SA21
2023-11;22;Allbridge Classic;3039737,53;SA22
2023-11;35;CrossCurve;994979,825;SA22
2023-11;42;pNetwork;499398,5863;SA22
2023-12;12;Stargate;1561099153;SA22
2023-12;26;ZKsync Era Bridge;1220379394;SA32
2023-12;19;Across;1208916524;SA33
2023-12;2;Arbitrum Bridge;1196217953;SA33
2023-12;1;Polygon PoS Bridge;626588946,7;SA22
2023-12;4;Optimism Gateway;468521073,3;SA33
2023-12;11;Synapse;294228570,2;SA22
2023-12;39;rhino.fi;288120367,3;SA11
2023-12;10;Celer cBridge;275121789,7;SA22
2023-12;32;Squid (Powered by Axelar);271870579,1;SA21
2023-12;13;Hop;236794869,4;SA33
2023-12;37;Manta Pacific Bridge;174502720,9;SA33
2023-12;28;Meson;147374811;SA11
2023-12;20;deBridge;135500578,4;SA22
2023-12;3;Avalanche Bridge;126420913,7;SA12
2023-12;16;Gnosis Bridge;85927868,23;SA22
2023-12;30;Mantle Bridge;81920431,93;SA33
2023-12;27;Symbiosis;45755915,32;SA11
2023-12;44;Interport Finance;29038289,04;SA11
2023-12;23;Polygon zkEVM Bridge;23200928,37;SA32
2023-12;18;Rainbow Bridge;20677192,18;SA31
2023-12;35;CrossCurve;9210319,858;SA22
2023-12;22;Allbridge Classic;6129784,215;SA22
2023-12;42;pNetwork;873939,8177;SA22
2023-12;34;Satellite (Powered by Axelar);387315,4814;SA21
2024-01;12;Stargate;1737254782;SA22
2024-01;2;Arbitrum Bridge;1403022017;SA33
2024-01;26;ZKsync Era Bridge;1362988319;SA32
2024-01;19;Across;1087623311;SA33
2024-01;1;Polygon PoS Bridge;628958392,3;SA22
2024-01;51;Circle CCTP;565026971,9;SA11
2024-01;10;Celer cBridge;345519071,7;SA22
2024-01;4;Optimism Gateway;335024521,5;SA33
2024-01;11;Synapse;324839949,7;SA22
2024-01;39;rhino.fi;316528010,7;SA11
2024-01;32;Squid (Powered by Axelar);240362387,1;SA21
2024-01;37;Manta Pacific Bridge;232131484,9;SA33
2024-01;28;Meson;209887343,1;SA11
2024-01;13;Hop;174178505,1;SA33
2024-01;3;Avalanche Bridge;169464253,6;SA12
2024-01;20;deBridge;103814686,3;SA22
2024-01;30;Mantle Bridge;97901978,34;SA33
2024-01;16;Gnosis Bridge;81279273,4;SA22
2024-01;23;Polygon zkEVM Bridge;74535525,94;SA32
2024-01;27;Symbiosis;50210312,93;SA11
2024-01;44;Interport Finance;42415119,75;SA11
2024-01;35;CrossCurve;38937084,98;SA22
2024-01;48;Rootstock Powpeg Bridge;19280287,18;SA22
2024-01;46;yBridge by xSync Network;11248387,42;SA22
2024-01;18;Rainbow Bridge;6554177,943;SA31
2024-01;45;Shimmer Bridge;2688626,477;SA22
2024-01;34;Satellite (Powered by Axelar);2571558,615;SA21
2024-01;22;Allbridge Classic;1643549,655;SA22
2024-01;42;pNetwork;1440413,311;SA22
2024-02;51;Circle CCTP;3033228216;SA11
2024-02;12;Stargate;2326695628;SA22
2024-02;11;Synapse;1602673320;SA22
2024-02;26;ZKsync Era Bridge;1544873718;SA32
2024-02;19;Across;1530212024;SA33
